repo,number,title,state,merged,created_at,relations,url,important,score,topics
erigontech/erigon,21622,db/recsplit: make IndexReader stateless,merged,True,2026-06-04,reviewed-by,https://github.com/erigontech/erigon/pull/21622,1,5,State / domains / commitment; Indexing & perfect hashing
erigontech/erigon,21619,db/recsplit: speed up index lookups,open,False,2026-06-04,reviewed-by,https://github.com/erigontech/erigon/pull/21619,1,5,Indexing & perfect hashing
erigontech/erigon,21618,"commitment: rebind concurrent-trie metrics, harden CSV/warmup config",merged,True,2026-06-04,reviewed-by,https://github.com/erigontech/erigon/pull/21618,1,5,Isolation & transactions; State / domains / commitment
erigontech/erigon,21594,cl/antiquary: batch beacon snapshot indexing,merged,True,2026-06-03,reviewed-by,https://github.com/erigontech/erigon/pull/21594,1,2,Snapshots / freezer / segments; Indexing & perfect hashing
erigontech/erigon,21593,rpc: implement pending resolver and GetPendingTransactions GraphQL,merged,True,2026-06-02,reviewed-by,https://github.com/erigontech/erigon/pull/21593,0,1,Isolation & transactions
erigontech/erigon,21584,"db/snapcfg, cmd/utils, node: add --snap.chaintoml-url override",merged,True,2026-06-02,reviewed-by,https://github.com/erigontech/erigon/pull/21584,0,0,
erigontech/erigon,21571,db/snapshotsync: make index building and opening segments safe with other files building events,merged,True,2026-06-02,reviewed-by,https://github.com/erigontech/erigon/pull/21571,1,4,Storage engine (MDBX/LMDB); Snapshots / freezer / segments; Indexing & perfect hashing
erigontech/erigon,21553,perfomance: reduce pageSize to 4kb,merged,True,2026-06-01,author,https://github.com/erigontech/erigon/pull/21553,0,1,Storage engine (MDBX/LMDB)
erigontech/erigon,21545,db/snapshotsync: fix crash due to double close of decompressor ,merged,True,2026-06-01,reviewed-by,https://github.com/erigontech/erigon/pull/21545,1,9,Storage engine (MDBX/LMDB); Snapshots / freezer / segments; Compression / encoding
erigontech/erigon,21541,execution/engineapi: parallel sender-recovery prefetch in newPayload,closed,False,2026-05-31,reviewed-by,https://github.com/erigontech/erigon/pull/21541,0,1,ETL / staged sync / pruning
erigontech/erigon,21539,rpc/jsonrpc: drop pre-state code already created in-block from witness,merged,True,2026-05-31,reviewed-by,https://github.com/erigontech/erigon/pull/21539,1,4,State / domains / commitment
erigontech/erigon,21538,[r3.4] db/state: prune TemporalMemBatch overlay entries past unwindToTxNum (#20625),merged,True,2026-05-31,reviewed-by,https://github.com/erigontech/erigon/pull/21538,1,10,Isolation & transactions; State / domains / commitment; ETL / staged sync / pruning
erigontech/erigon,21537,rpc/jsonrpc: encode executionWitness headers as RLP,merged,True,2026-05-31,reviewed-by,https://github.com/erigontech/erigon/pull/21537,1,7,State / domains / commitment; Compression / encoding
